"Object designation","Removal date in UTC","VI date in UTC","Last IP","Last PS"
"2025HR43","2025-11-24 19:06","2077-05-06 20:55","2.94E-10","-8.15"
"2025VQ","2025-11-23 13:22","2113-11-09 06:23","5.30E-09","-8.79"
"2025UK11","2025-11-21 13:18","2122-10-24 08:12","1.81E-09","-9.32"
"2025UF10","2025-11-21 13:16","2121-12-11 18:15","1.51E-10","-8.70"
"2025VO1","2025-11-20 13:34","2081-04-05 10:50","7.89E-08","-7.92"
"2025VK2","2025-11-18 14:18","2061-11-12 02:19","2.81E-08","-7.62"
"2025UF10","2025-11-17 14:18","2121-12-11 18:27","6.18E-09","-7.12"
"2025VP2","2025-11-15 16:02","2048-11-21 07:25","6.42E-06","-4.69"
"2025VK2","2025-11-14 14:03","2114-11-07 23:43","2.42E-10","-10.04"
"2025UF10","2025-11-11 13:18","2116-12-11 04:25","3.35E-10","-8.32"
"2025UF10","2025-11-09 12:55","2101-12-13 00:33","1.07E-07","-5.74"
"2025UT5","2025-11-05 13:33","2119-10-25 03:24","1.86E-10","-11.16"
"2025RM1","2025-11-05 13:30","2048-09-03 13:47","2.87E-06","-5.07"
"2022VF1","2025-11-05 10:25","2071-05-30 09:12","3.04E-10","-8.01"
"2025UH11","2025-11-03 13:21","2102-11-03 04:55","3.60E-09","-9.52"
"2025UC7","2025-11-01 13:38","2118-10-24 13:41","2.15E-09","-11.18"
"2025UE7","2025-11-01 13:33","2122-10-26 16:48","3.21E-07","-8.45"
"2025UK11","2025-11-01 13:31","2122-10-24 08:08","1.00E-08","-8.54"
"2020FA5","2025-10-28 16:33","2110-10-29 06:35","9.34E-08","-4.99"
"2025UG6","2025-10-28 14:32","2083-08-22 14:29","2.18E-08","-9.36"
"2025UG6","2025-10-27 17:52","2057-08-10 17:09","2.62E-08","-9.02"
"2025SM","2025-10-27 14:34","2084-08-29 03:38","1.31E-07","-6.60"
"2025UC3","2025-10-25 16:41","2103-10-17 01:54","3.46E-09","-8.32"
"2025UD3","2025-10-23 14:55","2105-10-25 09:04","1.61E-07","-8.84"
"2025TW5","2025-10-21 15:41","2091-10-04 12:51","4.25E-10","-9.73"
"2025SC5","2025-10-20 14:16","2086-09-21 13:21","2.87E-05","-4.08"
"2025SG42","2025-10-19 14:20","2069-04-04 06:53","6.72E-08","-4.61"
"2025TO8","2025-10-17 13:25","2121-10-13 15:51","4.63E-11","-9.33"
"2025TW5","2025-10-15 15:19","2091-10-04 16:35","1.01E-11","-11.37"
"2025QF85","2025-10-14 14:14","2069-05-29 03:36","9.68E-08","-2.85"
"2025TU1","2025-10-13 14:11","2089-08-27 06:23","6.45E-08","-8.12"
"2025SX26","2025-10-11 15:03","2039-10-15 17:50","5.88E-10","-9.29"
"2025TK","2025-10-09 12:53","2100-09-29 07:34","3.88E-07","-7.27"
"2025SQ27","2025-10-02 13:48","2054-10-29 05:57","1.02E-08","-8.28"
"2025SL22","2025-10-01 15:13","2050-09-21 14:54","2.83E-08","-9.13"
"2025QL2","2025-10-01 15:06","2058-08-08 22:23","1.32E-05","-5.61"
"2025SV6","2025-09-30 15:50","2074-10-18 00:02","6.16E-07","-7.46"
"2025SO20","2025-09-30 15:40","2052-09-28 04:59","2.64E-10","-11.00"
"2025SF15","2025-09-30 15:30","2095-10-07 06:18","1.89E-11","-7.14"
"2025SS3","2025-09-28 14:31","2114-10-07 23:18","6.17E-08","-6.74"
"2025SS","2025-09-26 14:42","2088-09-20 22:48","3.35E-10","-9.83"
"2025SE3","2025-09-26 14:38","2064-03-19 21:09","9.79E-11","-8.97"
"2025SW","2025-09-25 15:41","2119-09-23 22:56","2.10E-08","-6.92"
"2025SW6","2025-09-25 15:36","2115-03-17 01:54","4.37E-07","-8.41"
"2025SQ3","2025-09-25 15:36","2108-12-18 23:37","1.57E-08","-5.47"
"2025JU","2025-09-24 16:30","2074-10-02 08:27","3.54E-05","-3.44"
"2025SS3","2025-09-22 13:05","2114-10-07 23:27","2.43E-07","-6.10"
"2025RD5","2025-09-21 13:44","2057-01-11 16:54","3.59E-09","-5.60"
"2025RP2","2025-09-19 13:38","2059-09-15 08:28","2.44E-07","-6.75"
