"Object designation","Close approach date in UTC","Miss distance in km","Miss distance in au","Miss distance in LD","Diameter in m","H in mag","Maximum brightness in mag","Relative velocity in km/s","CAI Index"
"2021WR","2025-11-26 05:44","4577191","0.030597","11.907","21 - 50*","25.5","19.6","9.4","2.768"
"2025WK3","2025-11-26 08:54","113648","0.000760","0.296","3 - 7*","29.6","16.7","16.6","2.277"
"2025WY2","2025-11-26 18:29","6167855","0.041230","16.045","15 - 30*","26.2","19.8","7.7","3.357"
"2025WX3","2025-11-27 11:56","3774491","0.025231","9.819","17 - 40*","26.0","19.5","9.1","2.915"
"2025WB4","2025-11-27 16:53","1514970","0.010127","3.941","23 - 50*","25.3","16.0","8.8","1.646"
"2025WC2","2025-11-27 17:46","4974270","0.033251","12.940","22 - 50*","25.4","19.3","6.5","2.546"
"2018WG2","2025-11-27 19:06","5209833","0.034826","13.553","2.6 - 6*","30.0","25.7","7.5","5.453"
"2025WT","2025-11-28 07:43","6067155","0.040556","15.783","30 - 70*","24.7","19.0","10.4","2.529"
"2025WJ3","2025-11-28 19:41","2419036","0.016170","6.293","19 - 40*","25.7","19.6","17.5","2.610"
"2025WU3","2025-11-28 20:08","1872125","0.012514","4.870","9 - 20*","27.4","19.3","9.8","3.251"
"2025WQ3","2025-11-29 01:12","3235563","0.021628","8.417","8 - 17*","27.7","21.3","2.4","2.922"
"2025WB3","2025-11-29 17:46","3003884","0.020080","7.814","13 - 29*","26.6","20.3","10.4","3.158"
"2025WZ3","2025-11-30 16:22","444006","0.002968","1.155","11 - 24*","26.9","16.5","18.0","1.923"
"2007VM184","2025-12-01 09:37","4997984","0.033409","13.002","170 - 400*","21.0","15.4","20.0","1.011"
"2025WG","2025-12-02 02:59","1951446","0.013045","5.077","13 - 29*","26.5","19.1","7.2","2.547"
"2025WN1","2025-12-03 04:41","4250890","0.028415","11.059","28 - 60*","24.9","19.2","2.8","1.473"
"2018WC2","2025-12-03 07:33","4586446","0.030658","11.931","28 - 60*","24.9","19.4","8.7","2.352"
"2025UF10","2025-12-04 06:26","5543528","0.037056","14.421","100 - 220*","22.1","17.5","13.1","1.308"
"2025VE6","2025-12-04 18:10","2418140","0.016164","6.291","18 - 40*","25.9","17.7","5.2","2.102"
"2025WM3","2025-12-05 07:41","5390666","0.036034","14.024","20 - 40*","25.6","20.5","10.7","3.065"
"2021JE1","2025-12-08 19:53","5166675","0.034537","13.441","13 - 30*","26.5","22.1","7.1","3.375"
"2019XN3","2025-12-10 14:59","2348415","0.015698","6.109","12 - 27*","26.7","20.3","3.6","2.358"
"1999SF10","2025-12-10 22:59","3137063","0.020970","8.161","60","24.3","20.6","4.4","0.958"
"2020WX3","2025-12-13 04:51","6166853","0.041223","16.043","10 - 21*","27.2","24.4","7.5","4.017"
"2016YH","2025-12-13 23:28","2680703","0.017919","6.974","20 - 40*","25.6","17.5","8.9","2.362"
"2025TZ","2025-12-15 07:06","6804395","0.045485","17.701","40 - 90*","24.0","18.9","6.2","1.887"
"2025WA3","2025-12-16 03:09","3462334","0.023144","9.007","190 - 400*","20.7","14.8","19.3","0.613"
"2015XX168","2025-12-18 20:39","1762406","0.011781","4.585","20 - 50*","25.6","17.7","11.6","2.102"
"2010WR7","2025-12-20 11:54","7426698","0.049644","19.320","50 - 120*","23.4","20.0","8.3","1.835"
"2025WT3","2025-12-22 01:25","6111840","0.040855","15.900","19 - 40*","25.7","19.9","4.5","2.714"
"2019AW","2025-12-22 11:09","7018406","0.046915","18.258","11 - 25*","26.9","21.6","7.4","3.888"
"2021AB1","2025-12-28 10:49","3681172","0.024607","9.576","12 - 27*","26.7","22.7","12.2","3.484"
"2019AU","2025-12-30 16:51","7342181","0.049079","19.100","12 - 26*","26.8","22.7","2.8","3.167"
"2024AV2","2025-12-30 22:01","6860176","0.045857","17.846","12 - 28*","26.6","22.6","7.0","3.702"
"2014AF16","2026-01-04 03:43","3550972","0.023737","9.238","26 - 60*","25.1","19.1","9.6","2.296"
"2023XM15","2026-01-06 21:55","5625557","0.037605","14.635","40 - 90*","24.1","21.3","6.8","1.857"
"2022GR3","2026-01-12 05:47","6328273","0.042302","16.463","7 - 16*","27.9","23.3","13.0","4.738"
"2022OB5","2026-01-14 07:20","645386","0.004314","1.679","4 - 10*","28.9","18.5","2.2","2.233"
"2025BL","2026-01-17 07:29","1758105","0.011752","4.574","23 - 50*","25.3","20.0","6.9","1.642"
"2004MO3","2026-01-17 12:02","6496286","0.043425","16.900","90 - 210*","22.2","18.2","10.2","1.372"
"2019LZ4","2026-01-24 03:32","5014217","0.033518","13.044","30 - 80*","24.5","19.9","11.5","2.251"
"2019FB","2026-01-27 04:52","5695919","0.038075","14.818","19 - 40*","25.8","21.4","9.5","3.144"
